Survey Question / Description;Conceptual Category
It is important for me to have the flexibility to choose my work location.;Perceived Flexibility
Remote work positively impacts my personal life.;Work-Life Balance / Well-being
It is important for me to adjust my work schedule based on personal circumstances.;Perceived Flexibility
I prefer remote work over in-office work.;Remote Work Preferences
Remote work negatively impacts my career advancement (promotion, recognition, skill development).;Perceived Career Limitations
I find it difficult to maintain a healthy work-life balance while working remotely.;Work-Life Balance
I find remote work more challenging than in-office work (e.g., isolation, distractions, time zone differences).;Remote Work Challenges
I feel less productive while working remotely (e.g., distractions, no focus, poor time management).;Perceived Productivity
On average, how many hours per week do you work remotely?;Remote Work Modality
On average, how many hours per week do you work in the office?;On-site Work Modality
Did you change your geographic place of work since 2020?;Mobility / Relocation
Have you changed your place of living due to favourable remote working arrangements since 2020?;Residential Relocation
In which country was your last place of employment?;Past Employment Geography
In which country was your last place of living?;Past Residential Geography
Name the 5 most important reasons that led to your place of living relocation.;Motivations for Relocation
How much time do you spend commuting to work (in minutes per commute)?;Commuting Patterns
How do you usually commute to work (select all that apply)?;Mobility / Transport Mode
Where do you prefer to work when working remotely? (e.g., home, third place, coworking space);Remote Work Setting
Do you have access to the following amenities within a 15-minute walk, and how important are they to you?;Built Environment / Accessibility
What is your current industry sector (NACE categories)?;Employment Sector
Please share your employment status (e.g., employee, self-employed, unemployed, etc.);Employment Category
In which country do you currently live?;Current Residence Geography
In which country do you currently work?;Current Employment Geography
What is your gender?;Demographic
Your age in years;Demographic
Total years of full-time education (from primary to higher education);Education Level
Total years of professional working life;Employment Experience
;
ID;
Response.ID;
Date.submitted;
Start.language;
Would.you.like.to.select.a.different.language.;
